artist,type,gender,start_date
Paloma Mami,individual,female,1999
Hungria Hip Hop,individual,male,1991
Vicke Blanka,,,
Abraham Mateo,individual,male,1998
DUSTY LOCANE,individual,male,1999
Leo Santana,individual,female,1988
Louis Armstrong,group,,1901
Miksu / Macloud,,,
December Avenue,group,,
Yng Lvcas,individual,male,1999
Dimitri Vegas & Like Mike,group,,2015
AJ Mitchell,,,
IV Of Spades,,,
Walker Hayes,individual,male,1979
Lasso,group,,
Sheff G,individual,male,1998
Huncho Jack,group,,2017
Tarcísio do Acordeon,,,
Hotel Ugly,group,,2020
Anson Seabra,,,
EVERGLOW,group,,2019
MC Rogerinho,,,
Jessie Reyez,individual,female,1991
Polimá Westcoast,individual,male,1997
Trevor Daniel,group,,
Rocco Hunt,individual,male,1994
PNAU,group,,2016
Surf Curse,group,,2012
Amenazzy,individual,male,1995
Summer Cem,individual,female,1983
Eden Muñoz,individual,male,1990
Mike Bahía,individual,male,1987
Cordae,individual,male,1997
Dylan Scott,individual,male,1990
Jawsh 685,individual,male,2002
Lennon Stella,individual,female,1999
Timmies,group,,2023
JID,individual,male,1990
Josh A,,,
Gracie Abrams,individual,female,1999
J Hus,individual,male,1996
Bon Iver,group,,2006
Ne-Yo,individual,male,1979
Naughty Boy,individual,male,1981
Joey Montana,individual,male,1982
Echosmith,group,,2009
Neon Trees,group,,2008
Cults,group,,
Grimes,individual,female,1988
GROUPLOVE,group,,2009
Justine Skye,individual,female,1995
Arcade Fire,group,,2001
American Authors,group,,
Skepta,individual,male,1982
The Wanted,group,,2009
The Paper Kites,group,,2009
Duke Dumont,individual,male,1981
The Naked And Famous,group,,2007
Josh Turner,individual,male,1977
Nico & Vinz,group,,2010
J Alvarez,individual,male,1983
Sido,group,,
Saint Motel,group,,
Ludacris,individual,male,1977
Dizzee Rascal,individual,male,1984
Lucenzo,individual,male,1983
Azealia Banks,individual,female,1991
August Alsina,individual,male,1992
Linked Horizon,group,,
Charly Black,individual,male,1980
Mura Masa,individual,male,1996
Thundercat,group,,
Roar,group,,
ZHU,group,,
White Noise Baby Sleep,,,
Gym Class Heroes,group,,1997
CeeLo Green,individual,male,1975
MAGIC!,group,,2012
Capital Cities,group,,
Hippie Sabotage,group,,2005
A Great Big World,group,,2013
Pepe Aguilar,individual,male,1968
DeJ Loaf,individual,female,1991
Snoop Dogg,individual,female,1971
Sticky Fingers,group,,1971
Bridgit Mendler,individual,female,1992
Ella Henderson,individual,female,1996
Elle King,individual,female,1989
Highly Suspect,group,,2015
Cultura Profética,group,,1996
Kiiara,individual,female,1995
Phillip Phillips,individual,female,1990
Tech N9ne,,,
RY X,individual,male,1988
PSY,individual,male,1977
Cash Cash,group,,
Dr. Dre,group,,1965
TheFatRat,,,
SAYGRACE,individual,female,1997
Roy Woods,individual,male,1996
Matt Simons,individual,male,1987
Alicia Keys,individual,female,1981
Neck Deep,group,,2012
Macklemore & Ryan Lewis,group,,2009
James Blake,group,,
Conjunto Primavera,group,,1990
Bad Meets Evil,group,,1998
Hunter Hayes,individual,male,1991
Ray Charles,individual,male,1930
DVBBS,group,,2012
Mi Banda El Mexicano,,,
Ciara,individual,female,1985
Foals,individual,female,
Nelly Furtado,individual,female,1978
Banda Tierra Sagrada,,,
Thousand Foot Krutch,group,,1995
Daughter,group,,
Banda El Recodo,group,,2001
Seafret,group,,2011
James Vincent McMorrow,,,
Klangkarussell,group,,2011
Gente De Zona,group,,2014
Muse,group,,
Godsmack,group,,1995
Empire of the Sun,group,,
The Internet,group,,
Fuego,group,,
Yellow Claw,group,,
Jain,group,,
Original Broadway Cast of Hamilton,,,
Bunbury,group,,
The Kooks,group,,2004
Maejor,individual,female,1988
Sigma,group,,
Pentatonix,group,,
Marc E. Bassy,individual,male,2014
Denzel Curry,individual,male,1995
Jósean Log,individual,male,1988
A Day To Remember,group,,2003
MC Kevinho,,,
Benjamin Francis Leftwich,individual,male,1989
NEIKED,group,,
Colbie Caillat,individual,female,1985
Brothers Osborne,group,,2012
Vampire Weekend,group,,2006
I Prevail,group,,2013
GoldLink,individual,male,1993
Franco De Vita,individual,male,1954
Taio Cruz,individual,male,1980
Michael Schulte,group,,
K CAMP,individual,male,1990
Bleachers,group,,
O.T. Genasis,individual,male,1987
Carrie Underwood,individual,female,1983
Michael Kiwanuka,individual,male,1987
Young M.A,individual,female,1992
Victorious Cast,,,
Parov Stelar,individual,male,1974
Flight Facilities,group,,2009
Joan Sebastian,individual,male,1951
Tungevaag,individual,female,1993
Bob Marley & The Wailers,group,,1963
Crystal Castles,group,,2006
Hoodie Allen,individual,male,1988
Vicetone,group,,1992
DJ Antoine,,,
Bakermat,individual,male,1991
Theory of a Deadman,group,,1999
Fat Joe,individual,male,1970
BANKS,group,,
David Nail,individual,male,1979
Desiigner,individual,male,1997
Chino & Nacho,group,,1984
Mr. Probz,individual,male,1984
Royal Blood,group,,
Chayanne,individual,male,
John Lennon,individual,male,1940
Kylie Minogue,individual,female,1968
Billy Ocean,individual,male,1950
Austin Mahone,individual,female,1996
Mike Posner,individual,male,1988
OMI,group,,
Los Bukis,individual,female,1973
Waka Flocka Flame,individual,male,1986
The Oh Hellos,group,,2011
Jamie xx,,,
The xx,,,
Bahamas,group,,
Natiruts,group,,1996
Jasmine Thompson,individual,female,2000
Queens of the Stone Age,group,,1996
Chris Tomlin,individual,male,1972
Renée Elise Goldsberry,individual,female,1971
Vacations,group,,
Yelawolf,individual,male,1979
Otto Knows,individual,male,1989
Sebastian Ingrosso,individual,male,1983
Ricky Montgomery,individual,male,1993
Rachel Platten,individual,female,1981
Rochy RD,,,
LAGOS,group,,2015
zzoilo,individual,male,2020
Sleeping With Sirens,group,,2009
Matt Sassari,,,
Ingratax,individual,female,2000
Alex Clare,individual,female,1985
GFRIEND,group,,2015
Olamide,individual,male,1989
Majestic,group,,
Mareux,individual,male,1992
James Morrison,group,,
Irama,group,,
The Lonely Island,group,,2001
ATB,individual,male,1973
Aventura,group,,
Rise Against,group,,1999
bbno$,individual,male,1995
Bella Poarch,individual,female,1997
The Rare Occasions,group,,2012
Simple Plan,group,,1999
Los Legendarios,group,,2008
Technotronic,group,,1987
Amaarae,individual,female,1994
Jamie Miller,group,,
ACRAZE,group,,2006
Marc Seguí,,,
Benny Benassi,individual,male,1967
The Drifters,group,,1953
Hollywood Undead,group,,2005
Vierra,group,,
Tom Grennan,individual,male,1995
Los Caligaris,,,
Gabry Ponte,group,,1973
Nevada,group,,
Tanishk Bagchi,individual,female,1980
SoulChef,,,
Los Del Limit,,,
Lucky Daye,individual,male,1985
Katharine McPhee,individual,female,1984
Jossef,,,
DJ Matt D,,,
Kaito Shoma,,,
The Chicks,group,,1995
MC Zaquin,,,
Mahalini,individual,female,2000
Öwnboss,group,,2022
Ryan Hurd,individual,male,1986
Frédéric Chopin,individual,male,1810
Weeekly,group,,2020
42 Dugg,individual,male,1994
Raí Saia Rodada,,,
Chlöe,group,,
Duck Sauce,group,,2009
Gotye,individual,male,1980
Mc Poze do Rodo,,,
MYA,group,,
DMNDS,,,
Skylar Grey,individual,female,1986
SEB,group,,
Smiley,group,,1950
SwitchOTR,,,
Malu,group,,
Mc Anjim,,,
Randy,group,,
KSI,individual,female,1993
Harrdy Sandhu,individual,male,1986
Ricky Rich,individual,female,2018
Avine Vinny,,,
The Sugarhill Gang,group,,1979
ASTN,group,,
MC Cabelinho,,,
Paulo Pires,individual,male,1967
D-Block Europe,group,,2014
Fernando & Sorocaba,group,,
Ezekiel,individual,male,
Leo Rizzi,,,
Spice,group,,
Rusherking,,,
Alvaro Diaz,group,,
Emmy Meli,individual,female,2021
Ricardo Arjona,individual,male,1964
Hensonn,,,
Scorpions,group,,
The Drums,group,,2016
PlayaPhonk,,,
Sarah Cothran,individual,female,2002
JNR CHOI,individual,male,1999
Michel Teló,individual,male,1981
Metronomy,group,,1999
LeeHi,,,
George Henrique & Rodrigo,,,
Cher Lloyd,individual,female,1993
Cobra Starship,group,,2005
Nickelback,group,,1995
Gavin DeGraw,individual,male,1977
Kelly Rowland,individual,female,1981
Ángela Aguilar,individual,female,2003
Shane Codd,individual,male,1997
BANDIDO,group,,
DEKKO,group,,2011
Tayrone,,,
Sam Fender,individual,male,1994
Rebzyyx,,,
ERNEST,group,,
Aimer,individual,female,2011
RealestK,individual,male,2004
Tammi Terrell,individual,female,1945
Kxllswxtch,individual,male,1999
vaultboy,group,,1997
AWOLNATION,group,,2010
Chani Nattan,,,
siouxxie sixxsta,,,
Dímelo Flow,group,,
Alexandra Stan,individual,female,1989
KSLV Noh,,,
Egzod,group,,2017
StarBoi3,individual,male,2019
Rei 6,,,
Tevvez,,,
Álvaro De Luna,,,
Millonario & W. Corona,,,
JVLA,,,
Sista Prod,,,
Migrantes,,,
VINAI,group,,2011
GANGGA,group,,
Vicentico,individual,male,1964
Juicy Luicy,,,
Madrigal,group,,1600
Studio Killers,group,,
13 Organisé,individual,male,2020
Kip Moore,individual,female,1980
Claire Rosinkranz,individual,female,2004
Milly,group,,
Maverick Sabre,individual,male,1990
Stellar,group,,
HWASA,individual,female,1995
Up Dharma Down,group,,2004
SyKo,,,
Fousheé,individual,female,1994
Harry Nach,,,
Los Elegantes de Jerez,,,
Khruangbin,group,,2015
DJ Nelson,,,
Yung Bleu,individual,male,1994
Tommy Boysen,,,
Aitch,group,,
Lyanno,individual,male,1995
Octavian,individual,male,
carolesdaughter,,,
Conkarah,group,,2019
Carly Pearce,individual,female,1990
SR,group,,
Bingo Players,group,,2013
Victor Leksell,individual,male,1997
Wilbur Soot,individual,male,1996
All Time Low,group,,2003
Yasser Desai,individual,male,1989
MASN,,,
Lil Eazzyy,,,
NOBITA,group,,
WEEDMANE,,,
RØNIN,,,
Justin Morales,,,
Aditya A,,,
Curtis Waters,individual,male,1999
Paul Woolford,group,,
No Te Va Gustar,group,,1994
Jerry Di,,,
Famy,group,,2020
Timati,individual,male,1983
Coyote Theory,,,
HVME,individual,male,2016
Alexander 23,individual,male,1995
The Ronettes,group,,1961
THE ANXIETY,group,,2020
Ritt Momney,individual,male,1999
StaySolidRocky,,,
Black Veil Brides,group,,2006
CJ,group,,
THE SCOTTS,group,,2020
Elley Duhé,individual,female,1992
Secondhand Serenade,group,,1982
Elvis Costello,individual,male,1954
Powfu,individual,male,1999
CHUNG HA,individual,female,1996
thasup,individual,male,2001
Little Simz,individual,female,1994
DripReport,,,
Loreen,individual,female,1983
Stone Sour,group,,1992
G Herbo,individual,male,1995
DDG,,,
Darlene Love,individual,female,1941
Travis Porter,group,,2010
Sara Kays,,,
JAWNY,individual,male,1995
Gajendra Verma,individual,male,1990
Edith Whiskers,individual,male,1986
Luar La L,individual,female,2018
twocolors,group,,1996
ElyOtto,,,
Pooh Shiesty,individual,male,1999
Vedo,,,
Eve,individual,female,
Chet Faker,individual,male,1988
Santigold,individual,female,1976
Robbie Williams,individual,male,1974
S1mba,,,
Halestorm,group,,1997
Blxst,individual,male,1992
For Revenge,,,
Lefty Sm,,,
2NE1,,,
Veronica Maggio,individual,female,1981
Eric Land,,,
Example,group,,
Gaho,individual,male,1997
Pusha T,individual,male,1977
Enjambre,,,
Leonel García,group,,2000
Trey Lewis,group,,
Sergi,group,,
Murda,group,,
Lil Xxel,,,
Kaleb J,,,
wave to earth,,,
Yolanda Be Cool,group,,2010
Kawe,group,,
Ernia,individual,male,1993
Evdeki Saat,,,
Marcell,group,,
Chico Rose,group,,
DJ Ivis,,,
Kim Dracula,group,,
Grupo Recluta,,,
Alex Turner,individual,male,1986
Montgomery Gentry,group,,1990
LA Vision,,,
Anıl Emre Daldal,,,
Emma Louise,individual,female,1991
Alberto Y Roberto,,,
Toby Keith,individual,male,1961
Blake Rose,,,
tobi lou,individual,male,1988
BIN,group,,
Because,group,,
Naza,group,,1975
Yves V,individual,male,2019
LIZOT,,,
ALI,group,,
Declan J Donovan,,,
The Vaccines,group,,2010
Mario Judah,individual,male,1999
Jonasu,individual,male,1990
Kirko Bangz,individual,male,1989
HIRAIDAI,,,
WhoHeem,,,
DMX,individual,male,1970
Shablo,,,
Xavier Rudd,individual,female,1978
ZICO,group,,
Leyla Blue,,,
Cat Burns,individual,female,2000
Guy Sebastian,individual,female,1981
Family of the Year,,,
Madism,,,
Marconi Union,group,,2003
Asaf Avidan,individual,male,1980
KAI,group,,
Ayushmann Khurrana,individual,male,1984
Passion Pit,group,,2007
George Strait,individual,male,1952
Grupo Ensamble,,,
Ken Carson,individual,male,2000
Niack,,,
Jowell & Randy,group,,1982
Chloe x Halle,group,,2012
SUPER-Hi,,,
DJ Scheme,,,
Papu DJ,,,
Royal & the Serpent,individual,female,1994
Juanfran,group,,
Will Paquin,,,
Jeeiph,,,
Arash Buana,,,
Erica Banks,individual,female,1998
Princess Nokia,individual,female,1992
Daði Freyr,individual,male,1992
yama,group,,
Douglas & Vinicius,,,
Kidd Keo,,,
Mavi Gri,,,
KitschKrieg,group,,
Dubdogz,,,
Faouzia,individual,female,2000
Westlife,group,,1998
Harnoor,,,
Tom Gregory,group,,
Jeezy,individual,male,1977
Crissin,,,
El Taiger,,,
Owl City,individual,male,2007
"Luis Angel ""El Flaco""",,,
Nate Dogg,individual,male,1969
Montez,group,,
Saucy Dog,,,
Andrew Belle,individual,male,
Alonzo,group,,
Jengi,,,
Mario G klau,,,
ATE,group,,
Duke & Jones,,,
Fivio Foreign,individual,male,1990
La Joaqui,individual,female,1994
OAFF,,,
ZODIVK,,,
Avvy Sra,,,
Tiakola,individual,male,1999
Whitney Houston,individual,female,1963
Gerardo Coronel,,,
Batas Senja,,,
Mc Don Juan,,,
Los Farmerz,,,
Breakbot,individual,female,1981
The Band Perry,group,,2009
Laddi Chahal,,,
Paulo e Nathan,,,
Tom Santa,,,
Lojay,individual,male,1996
Chris Lebron,,,
Izzamuzzic,individual,male,1991
Oscu,,,
Thalapathy Vijay,individual,female,1974
Kanishk Seth,individual,male,1997
ZEG P,,,
charlieonnafriday,individual,male,2003
Xantesha,,,
Supermode,group,,
Vicco,group,,2010
Lauri Garcia,,,
Gen Hoshino,individual,male,1981
MC K.K,,,
Mc Gabzin,,,
Mitraz,,,
Yago Oproprio,,,
Lvbel C5,,,
cakal,,,
Bryan Martin,individual,female,1918
SDM,,,
Codiciado,,,
SleazyWorld Go,,,
Paul Partohap,,,
DJ AK BR,,,
SHADXWBXRN,,,
MC Braz,,,
Leony,group,,1997
Gloria Groove,individual,male,1995
Pheelz,individual,male,1994
Mc Tato,,,
Jax,group,,
Julianno Sosa,,,
Stars Music Chile,,,
Stephen Dawes,,,
La Maquinaria Norteña,,,
Corey Kent,individual,male,1994
Dr. Dog,group,,
bôa,group,,1993
Disco Lines,,,
KUTE,group,,
Gazo,group,,
DJ Jeeh FDC,,,
Mohombi,individual,male,1986
Dylan Conrique,group,,2017
Aruma,group,,
MC Xenon,,,
Mert Demir,,,
Jaziel Avilez,,,
Cian Ducrot,group,,2022
Denise Julia,,,
Diddy,group,,
DJ Robin,,,
Dedublüman,,,
BIBI,group,,
Lumi Athena,,,
Ion Miles,,,
Ak4:20,,,
Felipe e Rodrigo,,,
Dilaw,group,,2021
SiM,group,,
Kelvin Jones,group,,
B.I,group,,
4*TOWN (From Disney and Pixar’s Turning Red),,,
Nina Chuba,individual,female,1998
Kadu Martins,,,
GOT the beat,,,
SCXR SOUL,,,
GloRilla,individual,female,1999
Robyn,individual,female,1979
Riar Saab,,,
Mau P,,,
Lupe Fiasco,individual,male,1982
Dj LK da Escócia,,,
venbee,individual,female,
Siddhartha,group,,
Otis Redding,individual,female,1941
Darshan Raval,individual,male,1994
Peter Fox,group,,
Alta Consigna,,,
Tito Double P,,,
ZWE1HVNDXR,,,
6YNTHMANE,,,
Käärijä,individual,female,1993
MC Caverinha,,,
Kanii,individual,male,2005
Bobby Pulido,individual,male,1971
Mc Pedrinho,,,
Xavi,individual,male,1980
Vulgo FK,,,
Naiara Azevedo,individual,female,1989
Teddy Swims,group,,2020
Vilen,group,,
anees,group,,
Alessandra,group,,
Oliver Anthony Music,individual,male,1991
Connor Price,individual,male,1994
Clayton & Romário,,,
SUICIDAL-IDOL,,,
S3BZS,,,
Gabito Ballesteros,individual,female,1999
AYLIVA,individual,male,2000
Intocable,group,,1990
Andmesh,,,
BUNT.,,,
Sam Barber,group,,1919
Jere Klein,,,
Belle Kaffer,,,
XG,group,,
"Sergio Vega ""El Shaka""",,,
Andrea Bocelli,individual,male,1958
Shania Twain,individual,female,1965
Ski Aggu,group,,2023
Tiziano Ferro,individual,male,1980
BLOK3,,,
AUR,group,,
Finesse,individual,male,
Conjunto Rienda Real,,,
Jazzy,group,,1920
Iniko,,,
Prabh Singh,,,
Davido,individual,male,1992
Nadhif Basalamah,,,
Patrick Watson,group,,
sped up 8282,,,
Ziva Magnolya,individual,female,2001
Michelle Maciel,,,
Simone Mendes,group,,1984
Sky Rompiendo,individual,female,1992
Sean Kingston,individual,male,1990
Tyla,group,,
LIT killah,individual,male,1999
cassö,,,
La Factoria,group,,2002
Peggy Gou,individual,female,1991
Calle 24,group,,2023
JISOO,individual,female,1995
AgroPlay,,,
Taiu,group,,2020
Kenya Grace,individual,female,2023
Olly Alexander (Years & Years),,,
Kavinsky,individual,male,1975
AVA,group,,
Zeynep Bastık,individual,female,1993
Higuchi Ai,,,
Liaze,,,
Dikshant,,,
Bruno & Denner,,,
Mae Stephens,individual,female,2003
Doechii,individual,female,1998
Jasleen Royal,individual,female,2022
BENNETT,group,,
Toosii,individual,male,2000
Brray,,,
Creeds,group,,
Trebol Clan,group,,2008
Ghea Indrawari,,,
Madhur Sharma,,,
Aziz Hedra,,,
Travie McCoy,,,
Alberto Vazquez,group,,
Dance Fruits Music,,,
Laufey,group,,
Unknown Mortal Orchestra,group,,2009
Saiko,group,,
K y B,,,
Rockwell,group,,
Jaden Hossler,individual,male,2001
Bibi Babydoll,,,
Udo Lindenberg,individual,male,1946
Kaliii,individual,female,2000
Alex Favela,,,
Bob Sinclar,individual,male,1969
ONIMXRU,,,
natori,group,,
11:11 Music Group,,,
VALORANT,group,,2019
Laura Les,individual,female,1994
TALK,group,,
Knucks,group,,
Jão,individual,male,1994
Rain Radio,individual,female,2021
Rhove,,,
Lola Amour,group,,2013
Awesome City Club,,,
Lupillo Rivera,individual,male,2010
Marina Sena,individual,female,1996
Daviles de Novelda,,,
Emir Can İğrek,individual,male,1993
KASIMIR1441,group,,
Hannah Montana,individual,female,2006
Pi’erre Bourne,,,
MACE,group,,
Rizky Febian,individual,male,1998
Los Lara,,,
Kay Flock,individual,male,2003
Dj Guuga,,,
Minelli,group,,
STAYC,,,
Soso Maness,individual,female,1987
Kenndog,,,
Foreign Teck,,,
Sidoka,,,
Whales,group,,
Jameson Rodgers,individual,female,1987
Brisa Star,,,
Koba LaD,individual,female,2000
Nej,group,,2011
ART,group,,
Plain White T's,,,
Chris Lorenzo,group,,1991
Dream,group,,
Alex Luna,group,,
Sheena Easton,individual,female,1959
Warren Zeiders,individual,male,2021
kostromin,group,,
Jenna Raine,,,
Misellia,,,
Def Leppard,group,,1976
Doode,,,
BIA,group,,
Wes Nelson,individual,male,1998
JESSIA,individual,female,2021
My Chemical Romance,group,,2000
grentperez,individual,male,
Badshah,group,,
Chayce Beckham,individual,male,1996
Sadie Jean,individual,female,2002
Joan Jett & the Blackhearts,individual,female,1958
LCD Soundsystem,group,,2002
back number,group,,2004
Toby Romeo,individual,male,2000
MC ORSEN,,,
Jelly Roll,group,,
Navos,group,,2021
Tokischa,individual,female,1996
Lloyd Banks,group,,1982
Niko Moon,individual,male,1982
Tani Yuuki,,,
Dhibu Ninan Thomas,individual,male,2017
Celeste,group,,
Vitor e Luan,,,
Madonna,individual,female,1958
Neoni,,,
Jubin Nautiyal,individual,male,1989
SXMPRA,,,
Tacabro,group,,1984
sangiovanni,individual,male,2003
Los Pericos,group,,1987
VTORNIK,,,
Can Koç,,,
Black Gryph0n,,,
1da Banton,individual,male,1994
Macaroni Empitsu,,,
B Praak,individual,male,1986
FLOW,group,,
Tito Torbellino Jr,,,
Morad,group,,
Arz,group,,
Edgardo Nuñez,,,
Sefo,individual,male,1998
Selena,individual,female,1971
Budi Doremi,,,
3OH!3,group,,
Sam Kim,individual,male,1998
Lyn Lapid,group,,2018
Sugarland,group,,2002
Ritviz,individual,male,1996
Punto40,,,
Khaled,group,,
DG e Batidão Stronda,,,
Jessé Aguiar,,,
Big Red Machine,group,,1970
Cean Jr.,,,
Chance Peña,,,
Victor Cibrian,,,
Stephanie Beatriz,individual,female,1981
raissa anggiani,,,
TREASURE,group,,1996
Benzz,,,
Gyptian,individual,male,1983
Kenia OS,individual,female,1999
Muni Long,individual,female,1988
MC MENOR HR,,,
Leah Kate,individual,female,1992
Tim Berg,group,,1989
PLAYAMANE,,,
MoonDeity,,,
Marco Antonio Solís,individual,male,1959
Stacey Ryan,individual,female,2022
yuji,group,,
Keisya Levronka,individual,female,2003
Bullet For My Valentine,group,,1998
g3ox_em,,,
Kaifi Khalil,individual,male,1996
Ari Abdul,,,
Zaz,group,,
KÖFN,,,
Superstar Pride,individual,male,2002
Nate Smith,group,,
Chefin,,,
MC Tairon,,,
Isolate.exe,,,
Kep1er,,,
BM,group,,
Ghostface Playa,,,
Megan Moroney,individual,female,1997
Sharn,group,,
SunKissed Lola,,,
Luck Ra,,,
southstar,group,,
Rei,group,,
Mother Mother,group,,2016
Beny Jr,,,
Pablito Pesadilla,,,
J Boog,individual,male,1983
imase,individual,male,2000
Awdella,,,
Yohani,individual,female,1993
NAYEON,individual,female,1995
Luis Mexia,,,
Suki Waterhouse,individual,female,1992
Gorilla Zoe,individual,male,1981
Big Time Rush,group,,2009
iñigo quintero,group,,2022
Coi Leray,individual,female,1997
Lizzy McAlpine,,,
ThxSoMch,,,
ONE OK ROCK,group,,2005
Libianca,individual,female,2000
Agnes Obel,individual,female,1980
Nicky Youre,individual,male,1999
Flux Pavilion,individual,male,1989
Bill Evans,group,,1929
Loona,group,,2022
Wet Leg,group,,2019
Griff,group,,
Larissa Lambert,,,
01099,group,,0109
Fedez,individual,male,1989
La Fiera de Ojinaga,,,
DJ Patrick Muniz,,,
SpotemGottem,,,
Ñengo Flow,individual,male,1981
Willie Colón,individual,male,1950
Men Without Hats,group,,1980
Jessica Darrow,individual,female,1995
TWISTED,group,,
La Pantera,individual,male,1964
Oxlade,group,,
El Chachito,,,
Raim Laode,,,
Cris Mj,,,
Omar Apollo,individual,male,1997
MUPP,,,
Eliza Rose,individual,female,1991
LF SYSTEM,,,
Dxrk ダーク,,,
Ayra Starr,individual,female,2002
Alejo,individual,male,1635
Em Beihold,individual,female,1999
Chiddy Bang,group,,2008
Armani White,individual,male,1996
Shae Gill,individual,female,1999
Anggi Marito,,,
LiL CaKe,,,
Keri Hilson,individual,female,1982
Pixote,group,,1980
Payal Dev,individual,female,
Lil Keed,individual,female,1998
Vince Staples,individual,male,1993
SUNMI,individual,female,1992
Vitor Kley,individual,male,1994
Dawin,individual,male,1990
Natalia Jiménez,individual,female,1981
Chris Janson,individual,female,1986
Cody Fry,individual,male,2006
Nico Segal,group,,1993
YFN Lucci,individual,male,1991
Banda Clave Nueva,,,
Xantos,,,
Yall,group,,
Welshly Arms,group,,2013
San Holo,individual,male,1990
Atitude 67,,,
LunchMoney Lewis,individual,male,1988
Smokepurpp,individual,male,1997
Grupo Arranke,,,
Lifehouse,group,,
Absofacto,group,,2008
Jidenna,individual,male,1985
Belly,group,,
SL,group,,
Bicep,group,,
Baby Rasta,group,,1994
Ella Eyre,individual,female,1994
Silvestre Dangond,individual,male,1980
Luke Christopher,individual,male,1993
A.R. Rahman,individual,male,1967
mike.,,,
Rich Homie Quan,individual,male,1989
Tez Cadey,individual,male,1993
Superfruit,group,,
Adam Lambert,individual,male,1982
Mac Ayres,group,,
RHODES,group,,
Kat Dahlia,individual,female,1990
Jamie Lawson,group,,
Cornelio Vega y su Dinastia,,,
Marvin Gaye,individual,male,1939
Pav Dharia,,,
T-Wayne,individual,male,1990
Brennan Savage,,,
Felipe Peláez,,,
Maite Perroni,individual,female,1983
The Revivalists,group,,2007
El Bebeto,,,
MoTrip,,,
Måns Zelmerlöw,individual,male,1986
Annie Lennox,individual,female,1954
Big Shaq,individual,male,1991
1Kilo,,,
Fleur East,individual,female,1987
Feder,group,,
HRVY,individual,female,1999
Jory Boy,group,,2003
Canaan Smith,individual,female,1982
lovelytheband,group,,2016
CamelPhat,,,
Coleman Hell,individual,male,1989
Ryn Weaver,individual,female,1992
Miike Snow,group,,2007
Alice Merton,individual,female,1993
Matt Maltese,individual,male,1997
K.Flay,individual,female,1985
Hayden James,individual,male,2020
Stephen,individual,male,
Jill Scott,group,,
Action Bronson,individual,male,1983
Unlike Pluto,individual,male,2018
Cam,group,,
Yoke Lore,individual,male,
Mario Bautista,individual,male,1993
BOL4,group,,2016
Gwen Stefani,individual,female,1969
Janji,group,,2010
Hollow Coves,group,,
Gigolo Y La Exce,,,
Jetta,group,,
Dirty Heads,group,,2008
Wes Walker,individual,male,1955
Raaban,group,,1987
THE ORAL CIGARETTES,group,,2010
MIIA,group,,
Rodrigo Amarante,individual,male,1976
Caravan Palace,group,,2008
Pastel Ghost,,,
RŮDE,,,
Richy Mitch & The Coal Miners,,,
The Wombats,group,,2003
Monsieur Periné,individual,female,
Redfoo,individual,male,1975
Nathaniel Rateliff & The Night Sweats,individual,male,1978
Madcon,group,,1992
Moon Taxi,group,,2006
Joseph Vincent,individual,female,1989
Nina Nesbitt,individual,female,1994
DISH//,,,
Fink,group,,
Missy & Blonde,,,
Nothing But Thieves,group,,2012
Gang of Youths,group,,2011
Will Sparks,individual,male,1993
"Osmani Garcia ""La Voz""",,,
HENRY,group,,
Mark Forster,group,,
Therapie TAXI,group,,2016
Smino,individual,male,1991
The Japanese House,individual,female,1995
Nimo,group,,
Gaab,group,,
Jason Isbell and the 400 Unit,,,
WINNER,group,,
Nico Santos,group,,
Alkilados,,,
UM44K,,,
Bryce Fox,,,
Richard Marx,individual,male,1963
Jerrod Niemann,individual,female,1979
Cartoon,group,,
Trailerpark,group,,
MGMT,group,,2002
Silk City,group,,
grandson,group,,
Sylvan Esso,group,,2013
Shaggy,group,,
Gorgon City,group,,2014
Future Islands,group,,2006
Dimitri Vegas,group,,2015
A2M,group,,
INNA,individual,female,1986
CAZZETTE,group,,2011
BlocBoy JB,,,
Andy Mineo,group,,1988
Sheck Wes,individual,male,1998
Secondcity,individual,male,1987
INXS,group,,1977
Underworld,group,,
The Civil Wars,group,,2008
John Williams,individual,male,1932
Axel Thesleff,individual,male,1991
Shane Filan,group,,1979
The Barr Brothers,group,,2006
Tribo da Periferia,,,
Vundabar,group,,2013
MC's Jhowzinho & Kadinho,,,
Pia Mia,individual,female,1996
Anna Clendening,individual,female,1993
Emmanuel,group,,
Santa Estilo,,,
Declan McKenna,,,
JAEHYUN,group,,
Ms Nina,group,,2012
DEAN,group,,
Chelsea Cutler,individual,female,1997
Pabllo Vittar,individual,male,1993
Niska,group,,
Morgan Evans,group,,
Haley Reinhart,individual,female,1990
Kalash,group,,
ALMA,group,,
Marcos Menchaca,,,
CARYS,group,,1900
Andra Day,individual,female,1984
Silentó,individual,male,1998
Sheppard,group,,
Finding Hope,,,
Sabrina Claudio,individual,female,1996
Demarco Flamenco,,,
The Blaze,group,,2018
SXTN,,,
Bizzey,group,,1985
Cecilia Krull,individual,female,1986
Yo Yo Honey Singh,individual,male,1983
Daoko,individual,female,1997
Caloncho,individual,male,1986
R. City,group,,2003
Gabriela Rocha,group,,
Petit Biscuit,individual,male,1999
Puri,group,,
Jacob Forever,,,
TAEYEON,individual,female,1989
Valentino,group,,
TOTO,group,,
Joel Adams,group,,1750
MC Gustta,,,
Ember Island,group,,
