Artist and Title,Streams,Daily,year
Selena Gomez & The Scene - Who Says,457346398,239861.0,2011
Lady Gaga - Bloody Mary,451553455,411139.0,2011
Pitbull - International Love,449537520,380731.0,2011
Ed Sheeran - Kiss Me,448278665,88626.0,2011
David Guetta - Without You,426060622,216389.0,2011
Luke Bryan - Country Girl (Shake It For Me),423482171,257015.0,2011
Jennifer Lopez - On The Floor,422115245,134575.0,2011
Bon Iver - Holocene,421742151,119065.0,2011
Eric Church - Springsteen,417321549,194973.0,2011
Ricardo Arjona - Fuiste Tú,409922866,204767.0,2011
The Weeknd - The Morning,407771804,250852.0,2011
LMFAO - Sexy And I Know It,407205994,164358.0,2011
Reik - Creo en Ti,405903057,230949.0,2011
Lady Gaga - Judas,405869091,410445.0,2011
Mac Miller - Donald Trump,397646027,137680.0,2011
Childish Gambino - Les,396228104,689198.0,2011
Ben Howard - Only Love,384018435,93314.0,2011
Florence + The Machine - Shake It Out,383380339,137791.0,2011
Adele - Turning Tables,381299560,139953.0,2011
Kendrick Lamar - A.D.H.D,375604684,173881.0,2011
Beyoncé - Best Thing I Never Had,374352482,102144.0,2011
Childish Gambino - Heartbeat,373652852,660986.0,2011
Daughter - Youth,366515070,105377.0,2011
Childish Gambino - Bonfire,363335334,136119.0,2011
JAY-Z - No Church In The Wild,360132738,228518.0,2011
Avril Lavigne - What the Hell,359028874,156314.0,2011
Taio Cruz - Hangover,358002223,160650.0,2011
M83 - Wait,346734854,152618.0,2011
Jason Derulo - It Girl,345191626,94898.0,2011
"Tyler, The Creator - She",343242311,357987.0,2011
Tyga - Rack City,337067148,117153.0,2011
Sean Paul - She Doesn't Mind,333470043,187436.0,2011
Drake - Crew Love,325581044,158741.0,2011
Dr. Dre - I Need A Doctor,320955370,106326.0,2011
Scorpions - Still Loving You,319834894,166577.0,2011
Young the Giant - Cough Syrup,316457617,95528.0,2011
Zoé - Labios Rotos,314777326,211146.0,2011
Adele - Rumour Has It,313499663,170648.0,2011
David Guetta - She Wolf (Falling to Pieces) [feat. Sia],307349406,86709.0,2011
Jake Owen - Barefoot Blue Jean Night,306686003,126544.0,2011
Jesse & Joy - ¡Corre!,305004666,253535.0,2011
The Weeknd - High For This,303098995,160550.0,2011
The Drums - Money,297826327,226239.0,2011
Michael Bublé - Santa Claus Is Coming to Town,296968269,235022.0,2011
Fuego - Una Vaina Loca,294983306,110807.0,2011
Demi Lovato - Give Your Heart a Break,289165757,121794.0,2011
Hunter Hayes - Wanted,288313275,83009.0,2011
Drake - HYFR (Hell Ya Fucking Right),287394870,120987.0,2011
Coldplay - Every Teardrop Is a Waterfall,286103553,116211.0,2011
Lady Gaga - The Edge Of Glory,282596786,127378.0,2011
Lil Wayne - How To Love,281837047,108808.0,2011
Eric Church - Drink In My Hand,277788368,159423.0,2011
Ben Howard - Old Pine,277107083,68395.0,2011
Rihanna - You Da One,269881192,207139.0,2011
Birdy - People Help the People,268239163,166827.0,2011
Bad Meets Evil - Fast Lane,267685993,113265.0,2011
Zoé - Soñé,265426717,135809.0,2011
Michel Teló - Ai Se Eu Te Pego,263315185,90194.0,2011
Adele - One And Only,261943207,94595.0,2011
Metronomy - The Look,260441639,176582.0,2011
Coldplay - Princess of China,260417000,96849.0,2011
The Black Keys - Gold on the Ceiling,258014258,161667.0,2011
Cher Lloyd - Want U Back,256461725,70875.0,2011
Snoop Dogg - Sweat,256188133,92489.0,2011
David Guetta - Turn Me On,255563246,105382.0,2011
Cobra Starship - You Make Me Feel...,251214385,109696.0,2011
Drake - Make Me Proud,250528790,111221.0,2011
Pablo Alborán - Solamente tú,246727571,119279.0,2011
Ed Sheeran - Drunk,245345410,36244.0,2011
Florence + The Machine - Spectrum (Say My Name),244777368,161987.0,2011
The Head And The Heart - Rivers and Roads,244677136,102959.0,2011
Adele - Don't You Remember,244618483,105275.0,2011
Foster The People - Houdini,243463994,86496.0,2011
Skrillex - First of the Year (Equinox),240878583,43731.0,2011
DJ Khaled - I'm On One,240788606,127455.0,2011
The Weeknd - House Of Balloons / Glass Table Girls,239764269,438412.0,2011
Demi Lovato - Skyscraper,236495147,55867.0,2011
Britney Spears - Criminal,234170332,145872.0,2011
Olly Murs - Dance with Me Tonight,233851632,66356.0,2011
Drake - Doing It Wrong,229425335,115378.0,2011
Zoé - Luna,229060034,152047.0,2011
Bad Meets Evil - Lighters,227485579,97419.0,2011
Falling In Reverse - The Drug In Me Is You,227329336,125430.0,2011
Ed Sheeran - Small Bump,227129280,27236.0,2011
Pitbull - Rain Over Me,226913835,131649.0,2011
Panic! At The Disco - The Ballad of Mona Lisa,225464056,67630.0,2011
Foo Fighters - Walk,225305016,92399.0,2011
Lil Wayne - She Will,225010059,126124.0,2011
Nickelback - When We Stand Together,224953708,64069.0,2011
Nicki Minaj - Pound The Alarm,224639251,85733.0,2011
Gavin DeGraw - Not Over You,224447113,44758.0,2011
Michael Bublé - Jingle Bells,223025905,233532.0,2011
Ben Howard - Keep Your Head Up,221928043,50752.0,2011
Eli Young Band - Crazy Girl,221781655,91529.0,2011
Coldplay - Charlie Brown,220766317,94412.0,2011
"Tyler, The Creator - Yonkers",220415029,69280.0,2011
Wale - Lotus Flower Bomb,219468495,90024.0,2011
Kelly Rowland - Motivation,218516514,102398.0,2011
JAY-Z - Otis,218011773,171599.0,2011
The Weeknd - What You Need,217751386,175819.0,2011
Yuridia - Ya Te Olvidé,216383017,154817.0,2011
Daughter - Medicine,214682307,79904.0,2011
Alex Clare - Too Close,211895770,41041.0,2011
Drake - Shot For Me,208287332,119048.0,2011
Luke Bryan - I Don't Want This Night To End,206829534,115880.0,2011
Banda El Recodo - La Mejor De Todas,206714338,90987.0,2011
Swedish House Mafia - Save The World,206567183,68566.0,2011
Simple Plan - Summer Paradise,203734759,47007.0,2011
Wiz Khalifa - No Sleep,203325101,44139.0,2011
Jesse & Joy - La de la mala suerte,203014175,236210.0,2011
Rise Against - Satellite,201195753,69669.0,2011
Michael Bublé - I'll Be Home for Christmas,197682293,160865.0,2011
Florence + The Machine - Never Let Me Go,195042891,131855.0,2011
The Head And The Heart - Lost in My Mind,195030790,35329.0,2011
Michael Bublé - White Christmas,194261348,143140.0,2011
"J Alvarez - Sexo, Sudor y Calor",193078709,148805.0,2011
Michael Bublé - All I Want for Christmas Is You,190091612,143376.0,2011
Juan Magán - Bailando por Ahi,189305730,89179.0,2011
J. Cole - Can't Get Enough,187834279,109089.0,2011
Beyoncé - Countdown,187476287,40511.0,2011
Sean Paul - Got 2 Luv U,186733442,93571.0,2011
JAY-Z - Gotta Have It,184816928,183401.0,2011
Sachin-Jigar - Saibo,182447215,255605.0,2011
Luke Bryan - Drunk On You,182298919,63730.0,2011
"Tito ""El Bambino"" - Siente El Boom",181941433,148074.0,2011
Lucenzo - Baila Morena,177456553,114064.0,2011
Benjamin Francis Leftwich - Shine,176973167,12342.0,2011
"Ed Sheeran - You Need Me, I Don't Need You",176940969,29565.0,2011
Eli Young Band - Even If It Breaks Your Heart,176197238,65322.0,2011
Dizzee Rascal - Dance Wiv Me,176190876,72121.0,2011
Miranda Lambert - Mama's Broken Heart,174132307,82563.0,2011
Michael Bublé - Christmas (Baby Please Come Home),173984686,171436.0,2011
The Lonely Island - I Just Had Sex,173882436,31186.0,2011
Dizzee Rascal - Bonkers,171303268,68974.0,2011
Frank Ocean - Swim Good,170493914,65550.0,2011
Sleeping With Sirens - If You Can't Hang,170337948,84418.0,2011
Hunter Hayes - I Want Crazy,168804874,26048.0,2011
Foster The People - Helena Beat,167591987,43844.0,2011
Michael Bublé - Have Yourself a Merry Little Christmas,166684565,128115.0,2011
