track_id,title,artist,album,release_date,popularity,duration_ms,explicit,year,ranking,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3unsLiH5FXmaDWtT5Imolu,Fallin',Alicia Keys,Songs In A Minor (Expanded Edition),2001-06-26,18,210200,False,2001,2,0.652,0.609,11,-7.519,0,0.037,0.263,0.00101,0.233,0.482,95.986,3
28IZUzBnFsBxyrgdsdlQPg,All For You,Janet Jackson,Best Of Number Ones,2010-08-31,46,272386,False,2001,3,0.774,0.881,2,-4.681,1,0.0917,0.0107,0.0431,0.289,0.775,113.511,3
2hKdd3qO7cWr2Jo0Bcs0MA,Drops of Jupiter (Tell Me),Train,Drops Of Jupiter,2001-03-27,81,259933,False,2001,4,0.481,0.638,0,-5.862,1,0.0276,0.153,0.0,0.154,0.497,79.064,4
6MLsahMK3VvH9NUwXOktdS,I'm Real (feat. Ja Rule) - Murder Remix,Jennifer Lopez,J.Lo,2001-01-23,69,262133,True,2001,5,0.708,0.587,11,-7.93,0,0.151,0.273,0.0,0.0718,0.554,83.46,4
2f5N826udWfjT9iomeaBJt,If You're Gone,Matchbox Twenty,Mad Season,2000-05-23,66,274933,False,2001,6,0.544,0.659,9,-7.191,1,0.0298,0.427,1.33e-06,0.126,0.361,109.933,4
3RmKpob8xzv1pzHEQrMJah,Let Me Blow Ya Mind,Eve,Scorpion,2001-01-01,78,230133,True,2001,7,0.908,0.557,8,-4.243,0,0.107,0.242,0.0,0.0709,0.897,90.032,4
3yUcJwYu7fXAfqMj9krY6l,Thank You,Dido,No Angel,1999,77,218360,False,2001,8,0.725,0.583,1,-9.942,0,0.0427,0.3,0.0002379999999999,0.0665,0.762,79.984,4
16gvJsVyauI16RqmOrwJJk,Again,Lenny Kravitz,Greatest Hits,2000,55,228933,False,2001,9,0.554,0.8200000000000001,2,-5.035,1,0.0296,0.0186,4.910000000000001e-05,0.161,0.752,79.147,4
7JuMBlUywiUQdgjYtpJvsf,"Independent Women, Pt. 1",Destiny's Child,Independent Women Part I,2000-12-05,26,221160,False,2001,10,0.742,0.591,6,-3.78,0,0.2,0.347,4.54e-06,0.168,0.932,97.958,4
1yM9p2H37nWj7YzWXqUpSf,Hit 'Em up Style (Oops!) - Radio Mix,Blu Cantrell,R&B Party,2018-04-12,31,242760,False,2001,11,0.7030000000000001,0.715,10,-5.982,0,0.0429,0.241,0.0,0.398,0.682,90.01,4
1Bt6TZfF8FSqdiHPN0vy4u,It Wasn't Me,Shaggy,Hot Shot,2000-08-08,0,227600,False,2001,12,0.852,0.616,0,-4.728,1,0.0747,0.045,0.0,0.321,0.685,94.758,4
4IRYpWY1Hj3g6cUCCzU1KD,Stutter (feat. Mystikal) - Double Take Remix,Joe,Stutter (Double Take Remixes) - EP (feat. Mystikal),2000-07-01,15,213293,False,2001,13,0.683,0.766,1,-6.542,1,0.155,0.0528,0.0,0.319,0.624,89.885,4
1BExV8JprNJLvLeDE9qdEW,It's Been Awhile,Staind,Break the Cycle,2001-05-22,67,264706,True,2001,14,0.509,0.774,6,-4.054,1,0.0338,0.00189,0.000549,0.143,0.0824,116.529,4
2QsZVnbWVSjKMXK6K3uRBL,U Remind Me,USHER,8701,2001-08-07,75,266893,False,2001,15,0.657,0.629,6,-4.938,1,0.0782,0.194,0.0,0.254,0.726,93.985,4
4KZ7CrgkvAn3BbSCAmYp0U,Where the Party At (feat. Nelly) - LP Mix,Jagged Edge,Where The Party At,2001-03-07,26,234066,False,2001,16,0.8140000000000001,0.657,5,-6.836,0,0.11,0.267,1.6799999999999998e-06,0.0898,0.873,97.029,4
7xHsIaGEmiZunovi6oFtQz,Angel,Shaggy,Hot Shot,2000-08-08,0,235133,False,2001,17,0.802,0.77,6,-2.998,1,0.0925,0.143,0.0,0.0424,0.778,85.286,4
3Gf5nttwcX9aaSQXRWidEZ,Ride Wit Me,Nelly,Country Grammar,2000-06-27,79,291781,True,2001,18,0.85,0.7000000000000001,7,-6.49,1,0.0478,0.0616,1.8e-06,0.244,0.722,101.875,4
4KoecuyOpZaNFZ0UqVsllc,Follow Me,Uncle Kracker,Double Wide,2000-06-13,73,218439,True,2001,19,0.8170000000000001,0.585,5,-4.688,1,0.0301,0.439,0.0,0.147,0.916,105.014,4
