title,artist,release_year,explicit,energy,valence,casing,is_uniform
Come & Get It,Selena Gomez,2013,False,0.788,0.5760000000000001,mixed,mixed
"Hold On, We're Going Home",Drake,2013,False,0.451,0.32,mixed,mixed
Daylight,Maroon 5,2012,False,0.67,0.352,mixed,mixed
Feel This Moment,Pitbull,2012,False,0.758,0.542,mixed,mixed
Applause,Lady Gaga,2013,False,0.778,0.733,mixed,mixed
One More Night,Maroon 5,2012,False,0.8200000000000001,0.613,mixed,mixed
Love Me,Lil Wayne,2013,True,0.608,0.464,mixed,mixed
My Songs Know What You Did In The Dark,Fall Out Boy,2013,False,0.924,0.5670000000000001,mixed,mixed
F**kin' Problems,A$AP Rocky,2013,True,0.6930000000000001,0.662,mixed,mixed
Beauty And A Beat,Justin Bieber,2012,False,0.843,0.526,mixed,mixed
Same Love,Macklemore & Ryan Lewis,2012,False,0.475,0.308,mixed,mixed
Sweet Nothing,Calvin Harris,2012,False,0.929,0.582,mixed,mixed
Summertime Sadness,Lana Del Rey,2013,False,0.81,0.11,mixed,mixed
Home,Phillip Phillips,2012,False,0.8260000000000001,0.322,mixed,mixed
It's Time,Imagine Dragons,2012,False,0.884,0.86,mixed,mixed
Power Trip,J. Cole,2013,True,0.608,0.406,mixed,mixed
Girl On Fire,Alicia Keys,2012,False,0.803,0.31,mixed,mixed
Heart Attack,Demi Lovato,2013,False,0.776,0.526,mixed,mixed
Love Somebody,Maroon 5,2012,False,0.79,0.423,mixed,mixed
I Will Wait,Mumford & Sons,2012,False,0.756,0.447,mixed,mixed
Try,P!nk,2012,False,0.622,0.561,mixed,mixed
Wagon Wheel,Darius Rucker,2013,False,0.66,0.5740000000000001,mixed,mixed
Gangnam Style,PSY,2012,False,0.937,0.749,mixed,mixed
I Need Your Love,Calvin Harris,2012,False,0.869,0.58,mixed,mixed
Die Young,Kesha,2012,False,0.7000000000000001,0.801,mixed,mixed
Some Nights,fun.,2012,True,0.738,0.392,mixed,mixed
Bad,Wale,2013,True,0.638,0.28,mixed,mixed
Boys 'Round Here,Blake Shelton,2013,False,0.6880000000000001,0.649,mixed,mixed
"Gone, Gone, Gone",Phillip Phillips,2012,False,0.642,0.501,mixed,mixed
Demons,Imagine Dragons,2012,False,0.71,0.428,mixed,mixed
Counting Stars,OneRepublic,2014,False,0.705,0.477,mixed,mixed
I Cry,Flo Rida,2012,False,0.8220000000000001,0.763,mixed,mixed
Little Talks,Of Monsters and Men,2012,False,0.757,0.417,mixed,mixed
The Other Side,Jason Derulo,2013,False,0.836,0.517,mixed,mixed
Berzerk,Eminem,2013,True,0.872,0.684,mixed,mixed
Catch My Breath,Kelly Clarkson,2012,False,0.946,0.517,mixed,mixed
Crash My Party,Luke Bryan,2013,False,0.8160000000000001,0.414,mixed,mixed
Pour It Up,Rihanna,2012,True,0.478,0.39,mixed,mixed
22,Taylor Swift,2012,False,0.729,0.668,mixed,mixed
I Want Crazy,Hunter Hayes,2011,False,0.878,0.558,mixed,mixed
The Fox,Ylvis,2013,False,0.867,0.546,mixed,mixed
Best Song Ever,One Direction,2013,False,0.877,0.561,mixed,mixed
The A Team,Ed Sheeran,2011,False,0.289,0.407,mixed,mixed
Carry On,fun.,2012,False,0.6940000000000001,0.365,mixed,mixed
Highway Don't Care,Tim McGraw,2013,False,0.79,0.495,mixed,mixed
That's My Kind Of Night,Luke Bryan,2013,False,0.751,0.875,mixed,mixed
Swimming Pools,Kendrick Lamar,2012,True,0.447,0.189,mixed,mixed
Sure Be Cool If You Did,Blake Shelton,2013,False,0.726,0.582,mixed,mixed
#Beautiful,Mariah Carey,2014,True,0.755,0.425,mixed,mixed
