artist,title,year,gender,birth_year,casing,is_uniform
Justin Quiles,La Botella,2021,male,1990.0,mixed,mixed
Maria Becerra,Wow Wow,2021,female,2000.0,mixed,mixed
Arthur Nery,Isa lang,2021,male,1996.0,mixed,mixed
Robin Schulz,Young Right Now,2021,male,1987.0,mixed,mixed
Trippie Redd,Rich MF,2021,male,1999.0,mixed,mixed
Taylor Swift,The Very First Night,2021,female,1989.0,mixed,mixed
Drake,Love All,2021,male,1986.0,mixed,mixed
Pop Smoke,AP,2021,male,1999.0,upper,uniform
Rod Wave,By Your Side,2021,male,1998.0,mixed,mixed
Toby Romeo,Where The Lights Are Low,2021,male,2000.0,mixed,mixed
Lainey Wilson,Things A Man Oughta Know,2021,female,1992.0,mixed,mixed
Lorde,Solar Power,2021,female,1996.0,mixed,mixed
Sadie Jean,WYD Now?,2021,female,2002.0,mixed,mixed
Chayce Beckham,23,2021,male,1996.0,mixed,mixed
Kane Brown,Memory,2021,male,1993.0,mixed,mixed
Rkomi,NUOVO RANGE,2021,male,1994.0,upper,uniform
Lil Baby,Hats Off,2021,male,1994.0,mixed,mixed
Kodak Black,Love & War,2021,male,1997.0,mixed,mixed
sangiovanni,malibu,2021,male,2003.0,lower,uniform
Eladio Carrion,No Te Deseo el Mal,2021,male,1994.0,mixed,mixed
ArrDee,Oliver Twist,2021,male,2002.0,mixed,mixed
Rels B,Como Antes,2021,male,1993.0,mixed,mixed
Jack Harlow,SUVs,2021,male,1998.0,mixed,mixed
YoungBoy Never Broke Again,Nevada,2021,male,1999.0,mixed,mixed
Ninho,Jefe,2021,male,1996.0,mixed,mixed
Pop Smoke,Woo Baby,2021,male,1999.0,mixed,mixed
Sefo,Bilmem Mi?,2021,male,1998.0,mixed,mixed
Justin Bieber,2 Much,2021,male,1994.0,mixed,mixed
Rod Wave,Street Runner,2021,male,1998.0,mixed,mixed
Drake,Fountains,2021,male,1986.0,mixed,mixed
Morgan Wallen,Dangerous,2021,male,1993.0,mixed,mixed
Jhayco,Dile,2021,male,1993.0,mixed,mixed
Lost Frequencies,Rise,2021,male,1993.0,mixed,mixed
Ryan Castro,Wasa Wasa,2021,male,1994.0,mixed,mixed
Sigala,You for Me,2021,male,1992.0,mixed,mixed
Bo Burnham,Look Who’s Inside Again,2021,male,1990.0,mixed,mixed
Zack Tabudlo,Habang Buhay,2021,male,2001.0,mixed,mixed
Yura Yunita,Tutur Batin,2021,female,1991.0,mixed,mixed
Young Thug,Livin It Up,2021,male,1991.0,mixed,mixed
Billie Eilish,Lo Vas A Olvidar,2021,female,2001.0,mixed,mixed
Purple Disco Machine,Dopamine,2021,male,1980.0,mixed,mixed
Polo G,GANG GANG,2021,male,1999.0,upper,uniform
Baby Keem,durag activity,2021,male,2000.0,lower,uniform
Anne-Marie,Kiss My,2021,female,1991.0,mixed,mixed
Yeat,Gët Busy,2021,male,2000.0,mixed,mixed
Ritviz,Liggi,2021,male,1996.0,mixed,mixed
Drake,Pipe Down,2021,male,1986.0,mixed,mixed
Sam Kim,Love Me Like That,2021,male,1998.0,mixed,mixed
JEON SOMI,DUMB DUMB,2021,female,2001.0,upper,uniform
Drake,Papi’s Home,2021,male,1986.0,mixed,mixed
Bizarrap,"Morad: Bzrp Music Sessions, Vol. 47",2021,male,1998.0,mixed,mixed
Doja Cat,Been Like This,2021,female,1995.0,mixed,mixed
Eladio Carrion,Sin Frenos,2021,male,1994.0,mixed,mixed
Travis Scott,MAFIA,2021,male,1991.0,upper,uniform
Rels B,SHORTY QUE TE VAYA BN <3,2021,male,1993.0,upper,uniform
Zé Felipe,Senta Danada,2021,male,1998.0,mixed,mixed
Russ Millions,Body,2021,male,1996.0,mixed,mixed
B Praak,Mann Bharryaa 2.0,2021,male,1986.0,mixed,mixed
Bizarrap,YaMeFui,2021,male,1998.0,mixed,mixed
John Mayer,Carry Me Away,2021,male,1977.0,mixed,mixed
"Tyler, The Creator",LUMBERJACK,2021,male,1991.0,upper,uniform
Morgan Wallen,Warning,2021,male,1993.0,mixed,mixed
1da Banton,No Wahala,2021,male,1994.0,mixed,mixed
Luke Combs,Doin' This,2021,male,1990.0,mixed,mixed
Conan Gray,Overdrive,2021,male,1998.0,mixed,mixed
Wizkid,Essence,2021,male,1990.0,mixed,mixed
Dayglow,Close To You,2021,female,1999.0,mixed,mixed
benny blanco,You,2021,male,1988.0,mixed,mixed
Jason Aldean,If I Didn’t Love You,2021,male,1977.0,mixed,mixed
Maluma,Agua de Jamaica,2021,male,1994.0,mixed,mixed
Alan Walker,Not You,2021,male,1997.0,mixed,mixed
Moneybagg Yo,Wockesha,2021,male,1991.0,mixed,mixed
Kanye West,Jail,2021,female,1977.0,mixed,mixed
"Tyler, The Creator",JUGGERNAUT,2021,male,1991.0,upper,uniform
Maria Becerra,Mi Debilidad,2021,female,2000.0,mixed,mixed
Nessa Barrett,i hope ur miserable until ur dead,2021,female,2002.0,lower,uniform
Tory Lanez,Lavender Sunflower,2021,female,1992.0,mixed,mixed
Demi Lovato,Met Him Last Night,2021,female,1992.0,mixed,mixed
Ezhel,Bul Beni,2021,male,1991.0,mixed,mixed
girl in red,Serotonin,2021,female,1999.0,mixed,mixed
Juice WRLD,Life's A Mess II,2021,male,1998.0,mixed,mixed
Taylor Swift,Run,2021,female,1989.0,mixed,mixed
Arcángel,Si Te Veo,2021,male,1985.0,mixed,mixed
Taylor Swift,Everything Has Changed,2021,female,1989.0,mixed,mixed
Doja Cat,Naked,2021,female,1995.0,mixed,mixed
Manuel Turizo,Amor en Coma,2021,male,2000.0,mixed,mixed
Wes Nelson,Nice To Meet Ya,2021,male,1998.0,mixed,mixed
Lil Nas X,SCOOP,2021,male,1999.0,upper,uniform
Martin Garrix,We Are The People,2021,male,1996.0,mixed,mixed
Bad Bunny,De Museo,2021,male,1994.0,mixed,mixed
